2026-07-17 20:22:02 | INFO     | PumpFunBot | Logging to file: /Users/natnael/Youtube Projects/coinvault/coinvault/logs/pumpfun_bot_20260717_202202.log
2026-07-17 20:22:02 | WARNING  | PumpFunBot | plyer not available - desktop notifications disabled
2026-07-17 20:22:02 | WARNING  | PumpFunBot | pygame not available - sound alerts disabled
2026-07-17 20:22:07 | INFO     | PumpFunBot | Creating token: Kozy Kabin (KOZY)
2026-07-17 20:22:07 | INFO     | PumpFunBot | Uploading metadata for Kozy Kabin (KOZY) [mode: pumpfun]...
2026-07-17 20:22:07 | INFO     | PumpFunBot | [PINATA] Uploading image: coinvaultlogo.jpeg (31,518 bytes)...
2026-07-17 20:22:08 | INFO     | PumpFunBot |   ✓ Image CID: bafkreigrqvpmk6zqol2jitgfyte76tvlnmdz3dwj5xlwjm7uqfa2tghu5u
2026-07-17 20:22:08 | INFO     | PumpFunBot | [PINATA] Uploading metadata JSON (205 bytes)...
2026-07-17 20:22:10 | INFO     | PumpFunBot |   ✓ Metadata CID: bafkreicpke562usrhagcxwaaehriz4iqaf2r7bfcirl3uvn2gjatiigbcu
2026-07-17 20:22:10 | INFO     | PumpFunBot | [PINATA] Verifying metadata is live on gateway before proceeding...
2026-07-17 20:22:10 | INFO     | PumpFunBot |   ⏳ Polling gateway for metadata (timeout: 90s, every 0.5s)...
2026-07-17 20:22:10 | INFO     | PumpFunBot |   [1] [Errno 8] nodename nor servname provided, or not known — retrying in 0.5s (0/90s elapsed)
2026-07-17 20:22:11 | INFO     | PumpFunBot |   [2] [Errno 8] nodename nor servname provided, or not known — retrying in 0.5s (0/90s elapsed)
2026-07-17 20:22:11 | INFO     | PumpFunBot |   [3] [Errno 8] nodename nor servname provided, or not known — retrying in 0.5s (1/90s elapsed)
2026-07-17 20:22:12 | INFO     | PumpFunBot |   [4] [Errno 8] nodename nor servname provided, or not known — retrying in 0.5s (2/90s elapsed)
2026-07-17 20:22:12 | INFO     | PumpFunBot |   [5] [Errno 8] nodename nor servname provided, or not known — retrying in 0.5s (2/90s elapsed)
2026-07-17 20:22:13 | INFO     | PumpFunBot |   [6] [Errno 8] nodename nor servname provided, or not known — retrying in 0.5s (2/90s elapsed)
2026-07-17 20:22:13 | INFO     | PumpFunBot |   [7] [Errno 8] nodename nor servname provided, or not known — retrying in 0.5s (3/90s elapsed)
2026-07-17 20:22:14 | INFO     | PumpFunBot |   [8] [Errno 8] nodename nor servname provided, or not known — retrying in 0.5s (4/90s elapsed)
2026-07-17 20:22:14 | INFO     | PumpFunBot |   [9] [Errno 8] nodename nor servname provided, or not known — retrying in 0.5s (4/90s elapsed)
2026-07-17 20:22:15 | INFO     | PumpFunBot |   [10] [Errno 8] nodename nor servname provided, or not known — retrying in 0.5s (4/90s elapsed)
2026-07-17 20:22:15 | INFO     | PumpFunBot |   [11] [Errno 8] nodename nor servname provided, or not known — retrying in 0.5s (5/90s elapsed)
2026-07-17 20:22:16 | INFO     | PumpFunBot |   [12] [Errno 8] nodename nor servname provided, or not known — retrying in 0.5s (6/90s elapsed)
2026-07-17 20:22:16 | INFO     | PumpFunBot |   [13] [Errno 8] nodename nor servname provided, or not known — retrying in 0.5s (6/90s elapsed)
2026-07-17 20:22:17 | INFO     | PumpFunBot |   [14] [Errno 8] nodename nor servname provided, or not known — retrying in 0.5s (6/90s elapsed)
2026-07-17 20:22:17 | INFO     | PumpFunBot |   [15] [Errno 8] nodename nor servname provided, or not known — retrying in 0.5s (7/90s elapsed)
2026-07-17 20:22:18 | INFO     | PumpFunBot |   [16] [Errno 8] nodename nor servname provided, or not known — retrying in 0.5s (8/90s elapsed)
2026-07-17 20:22:18 | INFO     | PumpFunBot |   [17] [Errno 8] nodename nor servname provided, or not known — retrying in 0.5s (8/90s elapsed)
2026-07-17 20:22:19 | INFO     | PumpFunBot |   [18] [Errno 8] nodename nor servname provided, or not known — retrying in 0.5s (8/90s elapsed)
2026-07-17 20:22:19 | INFO     | PumpFunBot |   [19] [Errno 8] nodename nor servname provided, or not known — retrying in 0.5s (9/90s elapsed)
2026-07-17 20:22:20 | INFO     | PumpFunBot |   [20] [Errno 8] nodename nor servname provided, or not known — retrying in 0.5s (10/90s elapsed)
2026-07-17 20:22:20 | INFO     | PumpFunBot |   [21] [Errno 8] nodename nor servname provided, or not known — retrying in 0.5s (10/90s elapsed)
2026-07-17 20:22:21 | INFO     | PumpFunBot |   [22] [Errno 8] nodename nor servname provided, or not known — retrying in 0.5s (10/90s elapsed)
2026-07-17 20:22:21 | INFO     | PumpFunBot |   [23] [Errno 8] nodename nor servname provided, or not known — retrying in 0.5s (11/90s elapsed)
2026-07-17 20:22:22 | INFO     | PumpFunBot |   [24] [Errno 8] nodename nor servname provided, or not known — retrying in 0.5s (12/90s elapsed)
